r_obs,theta_obs,class
0.9830862047234875,5.943042776922921,0
1.2666085984743578,1.5935730225552875,0
0.6982673461826211,6.088240706983658,0
1.8516046361392433,0.23306593970474374,0
1.3222373139459687,1.579747739042067,0
0.794516487828839,0.0754333163563031,0
0.4974773303197061,0.004589688457186836,0
1.1629683799308865,1.5407597568081661,0
0.9902661918661531,1.5620789805713675,0
0.5906546977951416,1.1956894102637878,0
1.2632857727068503,1.2037625277102915,0
0.8621917560912825,1.5136209334205497,0
0.92526609334458,1.5137620176264193,0
1.0046893142288686,6.211962600358718,0
0.9296105751944852,1.091843696659572,0
1.1551902578289783,1.6552054318240443,0
1.2584294627933994,1.0720689031851072,0
0.6833199600522109,0.44331301461165495,0
0.887086265960173,0.6166404300213648,0
1.0495222661674657,1.3045946682232321,0
0.0834230804559048,0.7867189006512462,0
0.7673944352650482,1.2693829017587728,0
1.0122908635117949,1.5832745011169538,0
1.4412769841249018,1.0778227445685469,0
0.9710508898827189,0.7831186116655869,0
0.668962334624208,4.294772739424253,1
0.713248561033196,4.445898117314893,1
0.43634809803331864,5.051659460200415,1
2.0742217635036004,5.066770666882985,1
0.7652764123678758,5.12454682403383,1
1.9216003118801723,4.810023272838196,1
1.319121192743886,4.706855474459784,1
1.3119715626797597,4.6092380826135475,1
2.0692227014859697,5.200565117494683,1
1.3428934729257929,4.956093374743024,1
1.5794543774934824,4.270070430701659,1
0.115358410405087,4.938323414625572,1
-0.20221185927370136,4.9930871279218305,1
0.19732505606796089,4.920608622749441,1
0.8457745541978655,4.229267145881886,1
1.286164325353512,4.9567356856406795,1
1.6846976888051892,4.534570904406031,1
0.7235753696549224,4.978887042030673,1
0.300174585912069,4.0736460530577645,1
0.7942560499004331,5.064277586040945,1
0.14007388762657977,3.5975343127706636,1
0.595021421369682,3.705602148529263,1
1.2271986027455601,3.550302052440439,1
1.6924002435694552,4.037810740502422,1
1.160378480123732,5.035593618611738,1
0.15791787023967205,4.112076638370752,1
0.8118355512997589,3.8227751493909863,1
0.33998076042164,4.498035064020368,1
1.4469036074174157,4.561283290278453,1
0.9448455081939829,4.222468531190039,1
2.1064842485217237,3.834383596590719,1
0.8945371778835571,3.994516606636435,1
1.1787224919650525,4.3797029953416144,1
-0.4940880802043078,3.709914034090096,1
0.020639790522976213,3.699142302659192,1
0.12313355297124298,3.591746310741486,1
1.4672964467264502,4.744567818335808,1
0.4991243516504938,3.8685881557684354,1
1.3746794969067604,3.5072983488042384,1
0.6737769500330442,4.751144166172359,1
1.0604873469522555,4.471330104513471,1
1.463927571151922,4.353050086261053,1
0.9333994686209709,4.78576201223974,1
1.4574788203358502,3.728500469397633,1
1.322058142262903,4.771644066754596,1
0.8130146314383531,4.288300631764928,1
0.9916148677366124,4.172151788594282,1
0.16801101245973782,3.660798057733367,1
1.0968065736501904,4.6249765251563995,1
0.7418655826204996,3.6819261251569313,1
2.3792125742258126,0.9227565053972472,2
2.150678213822702,1.2453465929680714,2
1.8514968530059261,1.434109994523028,2
1.9288739158524686,1.272454825639779,2
1.7135580834125903,1.0983604393248825,2
1.7805166388519114,0.6893929867742443,2
2.387866724953231,0.43426403965500415,2
1.6549220746808806,1.749268413374698,2
1.9953725182714417,1.7868920121034386,2
1.485063551637817,1.7740199917424553,2
1.872711577746516,1.6432716629312791,2
1.8804846679214995,1.9120750115435288,2
1.0305381304188872,0.8539856959212454,2
1.1144909583507772,1.8494232219513569,2
2.3957010134936643,0.7745228345644883,2
1.9300008609451873,0.8773665847295912,2
1.4851675997234517,0.7287884866376633,2
1.8008170144467703,1.7068072578937719,2
1.9806671590223215,1.458006963071669,2
1.5360945027733888,0.8031068211658792,2
2.867526623330775,0.3977411144170708,2
2.341228484366474,0.4300210779754499,2
2.310858972517512,0.7398439144370978,2
2.329232520881714,1.772142122088509,2
1.9431789694860662,0.43830349770419186,2
1.9878570880467956,0.49384831277709385,2
1.8467518844424233,1.542742880829279,2
2.0438685095946085,0.673290873211725,2
2.244138295479199,0.5245768449079325,2
2.11730284677298,1.0987754573506117,2
1.9515563044131987,1.1018613840961067,2
1.988266340472843,0.5181432194520559,2
1.10640614152093,1.236913319742906,2
2.0386289507941644,1.9031751970964965,2
1.9835385451108412,0.938442208672394,2
1.704999091465863,1.5171245662652855,2
1.1345904098154227,1.7987018952841103,2
