time,altitude,altitude_err,distance,distance_err
0.5568937054114713,60.91010799097782,8.327763296513462,66.5357299100814,9.975134509569404
0.7877254304313841,79.77470147102699,9.22120498845755,74.34606337453639,10.159934673998867
0.8236357172583356,100.6569571570646,9.516681571058031,73.744555147004,10.349415569891844
1.0993998076762397,112.43931169809599,9.280225071646415,104.30130186369732,10.463993055504492
1.4137820230020246,151.66250009536708,8.611724381025875,124.9276690734327,9.843684595483039
1.4683355743604911,151.98258820457536,9.881389277702223,132.97903830740137,10.657167917302864
1.609336776725892,143.28034372385747,9.410959082137705,146.90441717242243,9.854947742183855
1.6131292245937434,168.8435925219818,9.497210803630228,133.69992882007287,10.360315756380476
1.6301612588006114,158.5248144304482,8.87292995164048,143.50403141331347,9.95593062233061
1.652538315278283,169.75270965325686,9.184985338474332,155.42766696066866,10.484313103621222
1.7357814193985928,186.32001135558434,8.502375940440821,144.48816165666605,9.599075583059616
1.996746450983564,196.4580128258608,9.63656570465872,186.98203666894545,10.9537976728208
2.8546667845939795,247.83863640421245,8.46753117191285,254.96189957804188,10.044856755526633
3.4425047180806945,285.5125437244024,8.379124158673601,278.6881894536513,9.845449759813382
3.4503930100655054,280.9948067938589,8.715123258436007,289.94220807755056,10.988643436161494
3.499663830557424,296.94825072862164,9.159345804714746,288.3600229912222,10.264691595067148
3.902274595962469,320.309627475251,9.211557236356267,296.14260009355723,10.222100733865714
4.69945726789246,316.17043558692245,8.862393609414228,376.1179746392677,10.14844786079048
4.965863093833712,343.2484260603503,8.359708748051297,390.44032413093447,10.837896914945784
5.840281874804368,368.4039799651971,8.702948948293134,421.3102755194191,9.247053465253602
